本店 (東京都港区)
目黒店 (東京都目黒区)
仙川店 (東京都調布市)
新宿歌舞伎町店 (東京都新宿区)(旧名:歌舞伎町店)
品川店 (東京都品川区)
新宿小滝橋通り店 (東京都新宿区)
環七新新代田店 (東京都世田谷区)(旧名:環七新代田店)
八王子野猿街道店2 (東京都八王子市)(旧名:八王子野猿街道店)
池袋東口店 (東京都豊島区)
亀戸店 (東京都江東区)
京急川崎店 (神奈川県川崎市川崎区)
府中店 (東京都府中市)
松戸駅前店 (千葉県松戸市)
めじろ台店 (東京都八王子市)(旧名:めじろ台法政大学前店)
荻窪店 (東京都杉並区)
上野毛店 (東京都世田谷区)
京成大久保店 (千葉県船橋市)
環七一之江店 (東京都江戸川区)
相模大野店 (神奈川県相模原市南区)(旧名:相模大野駅前店)
横浜関内店 (神奈川県横浜市中区)
神田神保町店 (東京都千代田区)
小岩店 (東京都江戸川区)
ひばりヶ丘駅前店 (東京都西東京市)
桜台駅前店 (東京都練馬区)
栃木街道店 (栃木県壬生町)
立川店 (東京都立川市)
千住大橋駅前店 (東京都足立区)
茨城守谷店 (茨城県守谷市)
湘南藤沢店 (神奈川県藤沢市)
西台駅前店 (東京都板橋区)
中山駅前店 (神奈川県横浜市緑区)
仙台店 (宮城県仙台市青葉区)
札幌店 (北海道札幌市北区)
会津若松駅前店 (福島県会津若松市)
JR西口蒲田店 (東京都大田区)(旧名:鶴見店)
新潟店 (新潟県新潟市中央区)
川越店 (埼玉県川越市)
京都店 (京都府京都市左京区)
越谷店 (埼玉県越谷市)
